Symbol,Name,Last,1M %Chg,52W %Chg,50D Rel Str,100D His Vol,Std Dev,EPS Growth Prv Yr,PEG,ROA%,Debt/Equity
DLR,Digital Realty Trust,153.98,-0.01,0.06,0.53,0.20,-0.49,0.09,3.52,0.02,0.76
DLTR,Dollar Tree Inc,99.39,-0.01,0.02,0.45,0.24,0.37,0.54,1.59,0.07,0.44
DOV,Dover Corp,164.83,0.12,0.57,0.63,0.21,0.28,0.30,1.89,0.11,0.88
DOW,Dow Inc,60.48,-0.05,0.36,0.47,0.28,0.81,1.31,0.28,0.03,1.11
DPZ,Domino's Pizza Inc,538.82,0.17,0.38,0.73,0.27,4.52,-0.02,3.11,0.29,N/A
DRE,Duke Realty Corp,50.50,0.05,0.36,0.61,0.17,-0.16,0.18,4.33,0.04,0.67
DRI,Darden Restaurants,144.20,0.06,0.86,0.53,0.32,-0.23,2.64,1.82,0.06,0.36
DTE,Dte Energy Company,114.88,0.05,0.20,0.53,0.17,-0.11,0.47,3.25,0.03,1.57
DUK,Duke Energy Corp,102.92,0.03,0.22,0.55,0.15,-0.33,0.11,3.84,0.02,1.15
DVA,Davita Healthcare Partners Inc,120.11,-0.03,0.38,0.52,0.21,0.01,0.14,0.92,0.05,6.16
DVN,Devon Energy Corp,25.99,-0.09,1.35,0.51,0.51,-0.46,2.46,0.34,0.02,0.83
DXC,Dxc Technology Company,38.71,0.02,1.24,0.56,0.37,-0.51,-0.38,0.39,0.03,0.82
DXCM,Dexcom,450.89,0.05,0.06,0.59,0.32,0.63,-0.25,N/A,0.07,0.89
EA,Electronic Arts Inc,142.29,0.01,0.03,0.51,0.19,1.09,-0.34,N/A,0.11,0.24
EBAY,Ebay Inc,72.06,0.11,0.28,0.60,0.33,2.35,0.40,1.67,0.12,1.55
ECL,Ecolab Inc,214.94,0.02,0.02,0.51,0.19,0.24,-0.28,3.29,0.06,1.06
ED,Consolidated Edison Company of New York,73.04,-0.02,-0.04,0.47,0.15,0.39,0.07,8.70,0.02,1.07
EFX,Equifax Inc,249.72,0.05,0.49,0.60,0.31,-1.57,0.41,2.52,0.10,0.98
EIX,Edison International,55.90,0.00,-0.01,0.47,0.20,-0.42,0.25,3.65,0.03,1.26
EL,Estee Lauder Companies,326.58,0.09,0.67,0.59,0.23,0.87,0.91,4.15,0.10,0.99
EMN,Eastman Chemical Company,108.26,-0.08,0.41,0.46,0.28,-0.85,0.05,0.67,0.05,0.82
EMR,Emerson Electric Company,97.44,0.03,0.52,0.55,0.21,-0.56,0.09,2.34,0.10,0.63
ENPH,Enphase Energy Inc,178.94,0.07,1.88,0.55,0.64,-0.15,-0.04,2.99,0.09,1.25
EOG,Eog Resources,73.70,-0.13,0.47,0.49,0.43,-0.24,1.95,0.99,0.04,0.25
EQIX,Equinix Inc,820.82,0.00,0.12,0.58,0.21,0.11,0.12,2.18,0.02,1.21
EQR,Equity Residential,83.90,0.06,0.51,0.61,0.18,-0.84,-0.22,9.28,0.03,0.76
ES,Eversource Energy,84.81,0.06,-0.05,0.51,0.19,1.01,0.13,3.45,0.03,1.04
ESS,Essex Property Trust,327.51,0.07,0.48,0.60,0.21,-0.84,-0.12,7.49,0.03,0.98
ETN,Eaton Corp,156.05,0.09,0.66,0.59,0.19,0.22,0.32,2.16,0.06,0.58
ETR,Entergy Corp,100.89,-0.02,-0.02,0.48,0.17,-0.23,0.29,N/A,0.02,2.19
ETSY,Etsy Inc,201.85,0.13,0.94,0.54,0.53,1.25,9.00,3.33,0.22,1.97
EVRG,Evergy Inc,64.14,0.04,0.00,0.56,0.17,0.42,0.34,3.29,0.03,1.03
EW,Edwards Lifesciences Corp,107.06,0.02,0.37,0.61,0.22,0.69,0.07,2.97,0.17,0.13
EXC,Exelon Corp,46.01,0.04,0.18,0.54,0.16,0.45,-1.07,5.12,0.02,1.07
EXPD,Expeditors Intl,128.38,0.02,0.61,0.61,0.18,-0.55,1.35,N/A,0.19,0.00
EXPE,Expedia Group Inc,160.03,-0.04,0.83,0.49,0.33,-0.64,-0.20,N/A,-0.07,3.15
EXR,Extra Space Storage Inc,168.77,0.04,0.72,0.62,0.19,0.63,0.21,4.90,0.07,1.60
F,Ford Motor Company,13.91,-0.07,1.03,0.53,0.43,-1.05,4.87,0.47,0.02,3.04
FANG,Diamondback Energy,78.67,-0.14,0.89,0.49,0.53,-0.23,0.59,0.37,0.03,0.64
FAST,Fastenal Company,53.91,0.05,0.18,0.56,0.18,-0.70,0.00,3.83,0.21,0.13
FB,Facebook Inc,351.19,0.04,0.46,0.58,0.27,1.02,0.93,1.27,0.22,0.00
FBHS,Fortune Brands Home & Security,96.36,-0.02,0.37,0.49,0.24,-0.98,0.68,N/A,0.10,0.92
FCX,Freeport-Mcmoran Inc,34.80,-0.05,1.56,0.49,0.48,0.18,4.19,0.37,0.04,0.47
FDX,Fedex Corp,296.62,0.00,0.80,0.52,0.27,-0.46,0.98,1.15,0.06,1.04
FE,Firstenergy Corp,39.15,0.04,0.45,0.58,0.17,3.39,0.05,N/A,0.03,3.02
FFIV,F5 Networks Inc,189.96,0.03,0.23,0.51,0.28,1.13,0.13,1.88,0.09,0.18
FIS,Fidelity National Information Services,146.11,0.00,0.01,0.50,0.18,0.32,0.02,1.20,0.04,0.34
FISV,Fiserv Inc,110.05,0.02,0.07,0.47,0.19,0.01,0.18,1.24,0.04,0.64
FITB,Fifth Third Bancorp,36.02,-0.05,0.85,0.47,0.31,-0.98,6.15,1.20,0.01,0.72
FLT,Fleetcor Technologies,254.19,-0.03,-0.03,0.45,0.21,-0.16,-0.08,1.31,0.08,0.93
FMC,FMC Corp,105.88,-0.08,-0.02,0.45,0.21,0.51,-0.17,1.31,0.08,0.87
FOX,Fox Corp Cl B,33.75,-0.06,0.30,0.48,0.25,-0.23,-0.05,N/A,0.08,0.65
FOXA,Fox Corp Cl A,36.00,-0.04,0.39,0.49,0.27,-0.31,-0.05,1.45,0.08,0.65
